,qname,teloBPLengths
0,b14c495c-2c8e-48e0-83d1-d8aea35ba098,6
1,531ad691-6c45-41a7-b833-282b595b7666,66
2,13113b2d-ce51-4b2d-984f-ecb4ac25ad9d,816
3,50ae31d6-4779-4367-b163-9c6c1ce07ad5,3564
4,61937de7-47ad-4135-924d-afe959872b89,96
5,6c3605dc-1293-4233-bebf-b067c78c33f9,600
6,6a5bcb8c-20fc-4100-9388-1d88ab047287,204
7,b1bb22a3-af6c-426d-850f-42e185749263,264
8,51231593-1fd0-4ea8-ac0e-8932c63d7fcf,3624
9,02ba55f6-1ff1-41e4-bd94-f3a81e471603,984
10,4b33fac4-ac30-4c7c-8d20-e3d70e0efee2,1548
11,7a63a577-c015-456e-9416-0a121b9c05db,6
12,1a5b9827-2e97-4272-9237-52619753550b,84
13,d64d7ac4-c82f-464a-a866-aef96cc22ad9,210
14,2a238095-d9fb-4502-a335-f7dda3eb8b84,2094
15,2652fd7c-46b9-4e3c-862c-62c3fd29e585,84
16,30e177ba-ddb4-4e78-84d7-c542c42f4710,2016
17,05f89e7f-6a4b-4551-8220-efdb64c116de,108
18,685c700e-2202-4309-a6b4-3ab546cbaa29,12
19,6ff6b029-26cf-47d7-ba56-3a917525df6b,84
20,10774c4f-f96a-455e-a171-69f116687458,2982
21,3418d34e-f0c9-4707-a6fe-318ba86a244c,90
22,14b7db71-91b6-412e-9413-76234390664a,1854
23,70be6970-4924-46f4-bda5-eb6a913e6f12,2286
24,a99785cd-1c5d-4343-8dcb-6d57717121be,2490
25,64632ab3-9751-4c84-b6c4-4cfa9ce5493e,54
26,12dcafea-9406-4a11-ae28-ebab3f7d1e53,660
27,23cbe50d-7323-412c-9afb-7fb88bee12ef,144
28,48a7a647-8063-4b52-ac35-91245497fd49,222
29,897eec6f-3baf-4b13-8a61-b0d09f19bae7,648
30,8fb1dda8-3dc3-412b-8f1f-8197ce3c8829,444
31,39ac065a-8e70-43cc-af24-6c51d4a7d4e6,18
32,e305caaf-330d-4fd7-8f41-4104bdc8ebf4,54
33,ef0a4fdf-3ced-42e6-a122-ebac3ba075dc,3150
34,d109d26a-7812-442a-b4e7-079b908ffa23,324
35,3dc4f0e9-9846-4cce-9b3b-0edc5445ac32,468
36,adb50cfa-1b87-4f50-bcb6-8275d0ed5ae6,144
37,193c946c-0015-43a2-a667-bb7dfe07c088,18
38,c64a2767-33dd-45c1-9b30-5483a7dd2edb,54
39,6f00f397-60c9-4f0f-a733-65b9d8aa3d07,516
40,83afd9f0-2138-44c2-9608-66df187c9ac6,54
41,6e66ee66-0ce6-4ea5-b7f8-cb8084e4aad7,156
42,50658553-1299-4923-94cb-ceb80df0a97e,4116
43,b7e987fe-e0f6-43a2-a63f-ad31da68dca6,6
44,a9b2e9c6-1ece-4ba2-a8e1-c0bc1c3910c6,1116
45,5d34a202-8d53-4c08-973d-a4874610c2b4,2484
46,27b771bf-a13e-42f4-9972-7cb5e74223ff,234
47,b7d577b6-80e7-4144-96dd-194d1198b3ef,4596
48,73364f3b-5c05-479c-ac44-e466e58e8d4e,114
49,46413e78-2bf8-46ba-a9b5-8ad6840ed609,228
50,0bf37962-243e-4ef1-8098-e3f76eafbd46,30
51,9d399c27-fc1b-4d4f-b29a-3cd97e669b5d,318
52,f03686c8-285a-461c-822f-d0c26a257693,132
53,f10118dd-213a-4a7d-9ed9-6ad74f1c3ffb,1194
54,0029c921-e7ca-4d8e-b7ca-ae43089d0c01,3420
55,0bc6b2a9-36be-48a8-bbed-3604fbc630af,42
56,f85b8c2d-31bf-4dfd-9fd8-714923501444,2706
57,8b05964a-57cb-470f-b1d5-8d2a057b8b51,552
58,f6f83820-2d6c-4c8c-b7e8-23189f0d64e6,72
59,6a88ee8a-5d23-4c6e-8ce0-7851c5c47611,3186
60,fc0e1438-8fc8-4dd0-a322-efa6247bd4c1,372
61,fed9e32c-538d-44d4-85a1-d016e2b3986e,18
62,1613c0d8-454c-4ce0-a065-e72f69c64efa,6
63,401dfb98-86b8-40ce-bc96-cc2946bca6a3,12
64,db042d36-19a7-4d82-8188-20a42da7fde4,2016
65,be48ef36-b0fa-4283-9f0f-b327c90b6b0a,624
66,c016c67b-972b-47d6-ada9-5e54156fed8f,426
67,aadde582-2daf-4174-ad78-5dc0e121ab56,1014
68,6791e423-cacb-49d0-8d18-ae993d33e7d0,66
69,c8ea71be-e8bc-4313-9a73-943060ce9576,156
70,1800419a-c758-406b-8432-e9e42616fdef,330
71,cc4c5f51-ae4c-4a18-a263-80fdfcceb7a9,336
72,dbc540d6-4f2a-49db-92bb-fc7c95a75642,468
73,cdb0508f-517f-41ea-afdc-347111abb704,456
74,441dd9c1-6d90-4875-a0fc-8d22b52b0016,438
75,51e8222f-81f2-4a39-958f-576fe9f847f1,408
76,db08f94a-7774-4dc2-88c2-646d73b91e12,3000
77,f2267b9f-5036-4006-bf54-399da52a05ca,180
78,62686c23-5358-4916-8202-056e7cd3562c,42
79,0fa01986-d3d9-42f7-ab87-0af1cb24c384,3282
80,e7a95909-4a8c-420e-bfd0-fb1ac91320c0,6
81,34bbb3a1-3643-4655-af74-2d3d4a37a87e,3948
82,84e7a47c-088d-4231-a107-5c594d88781b,294
83,32d03659-dbaf-4afc-8770-d1edfeafbbf7,12
84,52208e91-43db-495a-bccd-cad66abde084,6
85,11a31f2b-3e24-4af5-ad36-3950732cf022,2286
86,47d8bc95-2a26-4322-9646-732c13bbb671,42
87,92f0ff06-c7e4-4cbb-8d4f-3ac6bbc5415b,36
88,72d78da5-011a-4a65-aca7-fbee6b615458,4584
89,78851a90-7b31-4f37-8a63-dbd5edd9e5ee,180
90,a060359c-389e-4b12-9a93-487e604cdac7,6
91,a49ce430-275e-48b1-b46a-50e349d88134,192
92,8de77b98-009e-4afa-9354-412a425b4e44,12
93,2d660145-c1aa-4633-98c4-edc7dee8b445,162
94,04bfef56-d047-4e8a-ac80-efc9e8d7381c,5016
95,94a53574-282d-43bb-91f9-2b274a05938f,24
96,48a35fbf-802a-469d-a11f-e6c0133ceed9,3822
97,d9a0e3e3-c5f6-4b37-ad88-a5983e2a7b99,30
98,fb4bdee1-654c-4ba4-996c-167c021c7914,12
99,ce6d5e6b-da34-4f42-a30f-1334d3cfb87b,4284
100,bbaaf6a0-fafc-44a8-8408-88e441834af1,12
101,dd32405c-3cb7-450a-a6cf-2691aaf59fc2,30
102,22f7c422-ae3b-4a1d-9046-846cc133b8e8,4104
103,a9edef01-7c6a-4351-b951-881121712b57,282
104,31bef312-8cc7-414f-8360-e813f7f51004,4626
105,d2d28d9b-f849-4480-9388-3e347590dd2b,3846
106,7fa13e3b-db0c-4f2a-ad5c-19cff673df45,24
107,58a5323c-0391-4cb8-bb34-f7ed86028025,3264
108,ff60c841-b525-46c9-aa1d-317ac7e1c15a,132
109,519599e8-0a3f-4bba-99f5-ea44a4d65bd8,366
110,809e8240-bf96-4cbe-9825-a467699c4cc6,246
111,92c363b4-0a51-4f9d-8602-e9c4648d5d8b,276
112,1e16a9ec-556e-49b3-bef7-173e122cd2f5,168
113,5b8cec6b-8224-452c-9cf6-dc6959ef56a2,108
114,cd1c2319-d9ca-4000-b4d0-1d8d1a27ee01,138
115,c8f4d337-7fc7-4c95-ad7f-b17dcdaff507,498
116,b5981d0f-ef3c-47a8-9070-f42fc780ca24,114
117,3781c721-fee4-478f-834b-46bc9a704595,522
118,30f29f54-bb1d-4e8f-b39c-6024fa12f0fd,6
119,28296e3b-aa65-4c3c-8dd9-21f5f5bd0503,108
120,7ded32aa-64ef-41fc-95d2-08eb6566645c,12
121,c06b5b4b-ba3c-4cab-9082-7dfa8904bf8d,1038
122,f7e3e8cb-37ec-4267-bf74-676342eb5256,5364
123,93873613-deab-4d81-93aa-e668baf8a0cc,210
124,dab85b09-378d-47c7-b2d7-3fedd7a95857,6132
125,a5af4539-9298-4c7c-bab0-629c6da6cbb2,30
126,5bae714b-3dd6-49ae-95ab-3583005d2518,1092
127,742d9756-9f2a-4a94-852d-ec8902694671,390
128,bfe75f90-e059-4397-877c-4e1ddfc53632,864
129,0d2988a1-8087-47bd-b62e-174a8e0eea6f,30
130,3aaee9d9-459f-48a6-ac3b-2f392f630dc4,2088
131,ae71061b-2ae8-42c4-b7e6-e3605f1b54f2,1602
132,6bb160cb-40ca-4ce0-b264-7bae3dba7de4,6
133,427d63ed-d10e-45a7-b378-41981805d512,3330
134,49f2aaf3-766f-4011-9cd9-4df0300d739f,2766
135,a1e703fa-eaef-4f2b-9be2-1c07ba4eca31,84
136,c372059f-fea9-4b30-aa72-f1fcfdf5b477,594
137,c05c3890-ec16-45fb-96f4-1687da6486a8,4290
138,9135dc63-b409-43e3-b2d9-cf6897f9a6c5,156
139,c3b2ebf3-e312-461e-9ad6-33eab96c1d57,780
140,fbc0ec52-561b-4453-aa53-70236d4a909b,942
141,b2211baa-71dc-44af-b667-6494df1334be,144
142,e17426c1-4495-4f1a-b71b-e5c3c9c83100,30
143,521609c2-b70d-4aaf-be9a-d39c0e17d225,120
144,7cdfee14-c0bc-49c8-a4e7-7eb329243762,3300
145,17f3ad41-3ddf-4135-9391-c36612a03d30,180
146,448ab1e7-6bb0-4133-b314-e696b848a013,222
147,0810c13e-0664-4bf7-9a2a-91377d8f37a3,2064
148,2ff422d5-b373-45ef-9c91-f187a5d89184,204
149,c47db129-c11c-4dea-897a-2ce63a3f06ca,2520
150,1fa7df56-4073-4738-9c6f-d14716196144,30
151,d6d8d196-bcff-44e4-af70-cf4d16c3e2d0,438
152,e60604b9-bf76-4952-9c78-4f91f8202898,60
153,44f2001d-3bfd-40fa-a97a-3a2221327513,12
154,d033ffcd-1ac0-406b-ba47-512cd26a8dab,4482
155,24de7998-7bd9-4c58-8093-d1d8293d8eda,18
156,ac3d80b4-e1b0-4301-be42-4aa468f8be83,36
157,f60b3c05-f1ac-4452-9a64-40b491839169,702
158,bfab5605-8775-41fa-9056-f9db589f7744,210
159,c201f432-b65d-45d3-b51a-cd7ecc80f33d,1338
160,5ce17f61-9ae8-483c-b82f-d2b46a8dfee7,270
161,1a69f196-d0bc-4af9-b343-873bcac5ba56,90
162,199655bc-52f2-4b7d-ae54-8a5b14ef8553,60
163,ff740fb6-e706-44fe-8d7a-38f62b01a0a8,60
