,qname,teloBPLengths
0,50ae31d6-4779-4367-b163-9c6c1ce07ad5,3852
1,6c3605dc-1293-4233-bebf-b067c78c33f9,606
2,de96dd09-7127-4486-9376-692dc825e914,54
3,18b9735a-058a-4d5f-b820-a911b3690b14,3798
4,b14c495c-2c8e-48e0-83d1-d8aea35ba098,7134
5,4b33fac4-ac30-4c7c-8d20-e3d70e0efee2,4116
6,30e177ba-ddb4-4e78-84d7-c542c42f4710,2100
7,d64d7ac4-c82f-464a-a866-aef96cc22ad9,222
8,14b7db71-91b6-412e-9413-76234390664a,4422
9,0971c15b-2b41-445e-b5aa-49773f845fdc,4212
10,12dcafea-9406-4a11-ae28-ebab3f7d1e53,366
11,a99785cd-1c5d-4343-8dcb-6d57717121be,2676
12,8fb1dda8-3dc3-412b-8f1f-8197ce3c8829,456
13,897eec6f-3baf-4b13-8a61-b0d09f19bae7,4326
14,e305caaf-330d-4fd7-8f41-4104bdc8ebf4,3942
15,3dc4f0e9-9846-4cce-9b3b-0edc5445ac32,4722
16,c64a2767-33dd-45c1-9b30-5483a7dd2edb,2970
17,6f00f397-60c9-4f0f-a733-65b9d8aa3d07,2004
18,50658553-1299-4923-94cb-ceb80df0a97e,4356
19,441dd9c1-6d90-4875-a0fc-8d22b52b0016,4158
20,1e16a9ec-556e-49b3-bef7-173e122cd2f5,180
21,3781c721-fee4-478f-834b-46bc9a704595,510
22,0d1c71bc-06a1-4bff-8297-3a6cfa03416e,6582
23,fbc0ec52-561b-4453-aa53-70236d4a909b,942
24,e17426c1-4495-4f1a-b71b-e5c3c9c83100,5454
25,17f3ad41-3ddf-4135-9391-c36612a03d30,180
26,d033ffcd-1ac0-406b-ba47-512cd26a8dab,4392
27,f60b3c05-f1ac-4452-9a64-40b491839169,2748
28,199655bc-52f2-4b7d-ae54-8a5b14ef8553,2712
29,ea458b6d-ebe7-4bf2-943a-0fdcbb2de471,3894
30,27663854-4ed7-42f1-baec-1d62fccc10ae,4776
31,f836f575-63b0-4611-bb7f-ec81f7e0e99b,96
32,82a346b5-2a3f-44bc-8500-e2dbf77f634a,5664
33,9e7e106b-bdf5-415e-9c2b-40c970a76b55,1500
34,3cf0c3ec-9bfd-45b0-9218-001c1fb3698d,6450
35,ec098f37-1908-4cf4-b7cf-51d217a1f2d0,3606
36,694fb1d6-e49e-4989-84ff-bc0e74575bc4,3612
37,6358601f-8b02-4deb-a79f-da48c88d5789,2454
38,53d1e312-2c65-440b-94b8-14bba8d0f91f,2694
39,913c54a2-c0b8-4670-acd4-87d760d11380,2184
40,5473d1d1-bdc7-4acf-8b8d-c1c0e4ca599f,2196
41,c2df7739-2c82-461b-aaf9-a5a542539233,24
42,7a114798-4990-42b5-a12b-b2a51fee7d63,60
43,0eb2693f-177b-410d-9aa5-4f7cccdc7159,3534
44,3621c553-6e67-40a4-9961-175ff9df6ec1,3198
45,f69b7c42-5c46-41da-9d0d-a1673306bbd1,3318
46,0805a62a-61ae-4094-9897-137f178d4c64,840
47,e37864f0-26a1-4bbc-9d69-1be46959514c,4116
48,93352420-1328-47ce-8408-08e0a70ce194,3810
49,531ad691-6c45-41a7-b833-282b595b7666,102
50,61937de7-47ad-4135-924d-afe959872b89,72
51,b1bb22a3-af6c-426d-850f-42e185749263,4722
52,6a5bcb8c-20fc-4100-9388-1d88ab047287,168
53,51231593-1fd0-4ea8-ac0e-8932c63d7fcf,3894
54,d319d5e6-2252-4299-87ab-2272e20c9d7d,1722
55,02ba55f6-1ff1-41e4-bd94-f3a81e471603,1032
56,7a63a577-c015-456e-9416-0a121b9c05db,6
57,2a238095-d9fb-4502-a335-f7dda3eb8b84,2214
58,05f89e7f-6a4b-4551-8220-efdb64c116de,30
59,2652fd7c-46b9-4e3c-862c-62c3fd29e585,84
60,685c700e-2202-4309-a6b4-3ab546cbaa29,3618
61,6ff6b029-26cf-47d7-ba56-3a917525df6b,84
62,10774c4f-f96a-455e-a171-69f116687458,3216
63,70be6970-4924-46f4-bda5-eb6a913e6f12,2226
64,64632ab3-9751-4c84-b6c4-4cfa9ce5493e,2976
65,23cbe50d-7323-412c-9afb-7fb88bee12ef,1974
66,39ac065a-8e70-43cc-af24-6c51d4a7d4e6,3396
67,ef0a4fdf-3ced-42e6-a122-ebac3ba075dc,3300
68,d109d26a-7812-442a-b4e7-079b908ffa23,360
69,adb50cfa-1b87-4f50-bcb6-8275d0ed5ae6,2496
70,193c946c-0015-43a2-a667-bb7dfe07c088,2880
71,6e66ee66-0ce6-4ea5-b7f8-cb8084e4aad7,192
72,a9b2e9c6-1ece-4ba2-a8e1-c0bc1c3910c6,1212
73,b7e987fe-e0f6-43a2-a63f-ad31da68dca6,3288
74,5d34a202-8d53-4c08-973d-a4874610c2b4,2346
75,83afd9f0-2138-44c2-9608-66df187c9ac6,2892
76,ce0b37d0-ab20-4ff6-8d65-2b8d2f7cb4f1,4602
77,27b771bf-a13e-42f4-9972-7cb5e74223ff,3294
78,48a7a647-8063-4b52-ac35-91245497fd49,132
79,73364f3b-5c05-479c-ac44-e466e58e8d4e,120
80,46413e78-2bf8-46ba-a9b5-8ad6840ed609,336
81,0bf37962-243e-4ef1-8098-e3f76eafbd46,300
82,9d399c27-fc1b-4d4f-b29a-3cd97e669b5d,312
83,f03686c8-285a-461c-822f-d0c26a257693,108
84,b7d577b6-80e7-4144-96dd-194d1198b3ef,4782
85,f10118dd-213a-4a7d-9ed9-6ad74f1c3ffb,1266
86,0029c921-e7ca-4d8e-b7ca-ae43089d0c01,3636
87,0bc6b2a9-36be-48a8-bbed-3604fbc630af,2106
88,f85b8c2d-31bf-4dfd-9fd8-714923501444,2892
89,f6f83820-2d6c-4c8c-b7e8-23189f0d64e6,2820
90,6a88ee8a-5d23-4c6e-8ce0-7851c5c47611,3432
91,8b05964a-57cb-470f-b1d5-8d2a057b8b51,516
92,fc0e1438-8fc8-4dd0-a322-efa6247bd4c1,6708
93,db042d36-19a7-4d82-8188-20a42da7fde4,2208
94,fed9e32c-538d-44d4-85a1-d016e2b3986e,2196
95,1613c0d8-454c-4ce0-a065-e72f69c64efa,6
96,be48ef36-b0fa-4283-9f0f-b327c90b6b0a,12
97,401dfb98-86b8-40ce-bc96-cc2946bca6a3,12
98,c016c67b-972b-47d6-ada9-5e54156fed8f,2898
99,aadde582-2daf-4174-ad78-5dc0e121ab56,4590
100,7948fd58-5140-4f5f-afb5-5da7ee88b353,42
101,6791e423-cacb-49d0-8d18-ae993d33e7d0,3468
102,cc4c5f51-ae4c-4a18-a263-80fdfcceb7a9,336
103,1800419a-c758-406b-8432-e9e42616fdef,342
104,dbc540d6-4f2a-49db-92bb-fc7c95a75642,510
105,cdb0508f-517f-41ea-afdc-347111abb704,3354
