read_id	length	strand
531ad691-6c45-41a7-b833-282b595b7666	180	G
61937de7-47ad-4135-924d-afe959872b89	167	G
13113b2d-ce51-4b2d-984f-ecb4ac25ad9d	118	G
50ae31d6-4779-4367-b163-9c6c1ce07ad5	3810	G
086f298e-a3e7-44b3-bf05-ce15bd8d2a43	118	G
6c3605dc-1293-4233-bebf-b067c78c33f9	354	G
b1bb22a3-af6c-426d-850f-42e185749263	6205	G
6a5bcb8c-20fc-4100-9388-1d88ab047287	480	G
de96dd09-7127-4486-9376-692dc825e914	1095	G
de96dd09-7127-4486-9376-692dc825e914	204	G
de96dd09-7127-4486-9376-692dc825e914	937	G
de96dd09-7127-4486-9376-692dc825e914	807	G
de96dd09-7127-4486-9376-692dc825e914	972	G
de96dd09-7127-4486-9376-692dc825e914	135	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	1962	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	2108	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	3891	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	998	G
18b9735a-058a-4d5f-b820-a911b3690b14	3728	G
b14c495c-2c8e-48e0-83d1-d8aea35ba098	8327	G
4b33fac4-ac30-4c7c-8d20-e3d70e0efee2	4119	G
1a5b9827-2e97-4272-9237-52619753550b	332	G
1a5b9827-2e97-4272-9237-52619753550b	326	G
7a63a577-c015-456e-9416-0a121b9c05db	118	G
d64d7ac4-c82f-464a-a866-aef96cc22ad9	597	G
d64d7ac4-c82f-464a-a866-aef96cc22ad9	309	G
2a238095-d9fb-4502-a335-f7dda3eb8b84	2227	G
14b7db71-91b6-412e-9413-76234390664a	4433	G
05f89e7f-6a4b-4551-8220-efdb64c116de	2862	G
2652fd7c-46b9-4e3c-862c-62c3fd29e585	758	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	2094	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	789	G
685c700e-2202-4309-a6b4-3ab546cbaa29	3584	G
6ff6b029-26cf-47d7-ba56-3a917525df6b	102	G
