read_id	length	strand
61937de7-47ad-4135-924d-afe959872b89	122	G
086f298e-a3e7-44b3-bf05-ce15bd8d2a43	119	G
50ae31d6-4779-4367-b163-9c6c1ce07ad5	2142	G
50ae31d6-4779-4367-b163-9c6c1ce07ad5	666	G
50ae31d6-4779-4367-b163-9c6c1ce07ad5	70	G
50ae31d6-4779-4367-b163-9c6c1ce07ad5	70	G
b1bb22a3-af6c-426d-850f-42e185749263	3092	G
b1bb22a3-af6c-426d-850f-42e185749263	451	G
b1bb22a3-af6c-426d-850f-42e185749263	261	G
b1bb22a3-af6c-426d-850f-42e185749263	250	G
b1bb22a3-af6c-426d-850f-42e185749263	84	G
b1bb22a3-af6c-426d-850f-42e185749263	51	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	499	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	336	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	1084	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	186	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	55	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	52	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	59	G
51231593-1fd0-4ea8-ac0e-8932c63d7fcf	53	G
de96dd09-7127-4486-9376-692dc825e914	373	G
de96dd09-7127-4486-9376-692dc825e914	76	G
531ad691-6c45-41a7-b833-282b595b7666	163	G
13113b2d-ce51-4b2d-984f-ecb4ac25ad9d	118	G
6c3605dc-1293-4233-bebf-b067c78c33f9	337	G
6a5bcb8c-20fc-4100-9388-1d88ab047287	458	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	551	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	769	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	1624	G
d319d5e6-2252-4299-87ab-2272e20c9d7d	181	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	947	G
18b9735a-058a-4d5f-b820-a911b3690b14	3805	G
b14c495c-2c8e-48e0-83d1-d8aea35ba098	8061	G
b14c495c-2c8e-48e0-83d1-d8aea35ba098	210	G
4b33fac4-ac30-4c7c-8d20-e3d70e0efee2	202	G
4b33fac4-ac30-4c7c-8d20-e3d70e0efee2	134	G
4b33fac4-ac30-4c7c-8d20-e3d70e0efee2	59	G
1a5b9827-2e97-4272-9237-52619753550b	334	G
7a63a577-c015-456e-9416-0a121b9c05db	118	G
d64d7ac4-c82f-464a-a866-aef96cc22ad9	590	G
d64d7ac4-c82f-464a-a866-aef96cc22ad9	150	G
2a238095-d9fb-4502-a335-f7dda3eb8b84	1653	G
2a238095-d9fb-4502-a335-f7dda3eb8b84	386	G
14b7db71-91b6-412e-9413-76234390664a	1064	G
14b7db71-91b6-412e-9413-76234390664a	182	G
14b7db71-91b6-412e-9413-76234390664a	253	G
14b7db71-91b6-412e-9413-76234390664a	81	G
14b7db71-91b6-412e-9413-76234390664a	492	G
14b7db71-91b6-412e-9413-76234390664a	563	G
14b7db71-91b6-412e-9413-76234390664a	67	G
05f89e7f-6a4b-4551-8220-efdb64c116de	2919	G
2652fd7c-46b9-4e3c-862c-62c3fd29e585	770	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	142	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	206	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	54	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	128	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	154	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	109	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	69	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	115	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	54	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	58	G
30e177ba-ddb4-4e78-84d7-c542c42f4710	101	G
685c700e-2202-4309-a6b4-3ab546cbaa29	2650	G
685c700e-2202-4309-a6b4-3ab546cbaa29	113	G
6ff6b029-26cf-47d7-ba56-3a917525df6b	116	G
58ed5b07-f313-4d2b-a916-b80f43d5aa81	865	G
58ed5b07-f313-4d2b-a916-b80f43d5aa81	2075	G
10774c4f-f96a-455e-a171-69f116687458	1124	G
10774c4f-f96a-455e-a171-69f116687458	806	G
de2239aa-032a-49e9-a349-6147c62dee64	362	G
39ac065a-8e70-43cc-af24-6c51d4a7d4e6	3396	G
4d66d669-8f6a-4611-a74d-ddf07df283c9	112	G
ef0a4fdf-3ced-42e6-a122-ebac3ba075dc	1903	G
ef0a4fdf-3ced-42e6-a122-ebac3ba075dc	184	G
ef0a4fdf-3ced-42e6-a122-ebac3ba075dc	49	G
ef0a4fdf-3ced-42e6-a122-ebac3ba075dc	61	G
e305caaf-330d-4fd7-8f41-4104bdc8ebf4	3813	G
5fbfdd63-408c-490a-b768-d6392b2070c9	120	G
48a7a647-8063-4b52-ac35-91245497fd49	257	G
48a7a647-8063-4b52-ac35-91245497fd49	96	G
3418d34e-f0c9-4707-a6fe-318ba86a244c	113	G
0971c15b-2b41-445e-b5aa-49773f845fdc	4247	G
70be6970-4924-46f4-bda5-eb6a913e6f12	2271	G
70be6970-4924-46f4-bda5-eb6a913e6f12	538	G
70be6970-4924-46f4-bda5-eb6a913e6f12	191	G
a99785cd-1c5d-4343-8dcb-6d57717121be	692	G
a99785cd-1c5d-4343-8dcb-6d57717121be	539	G
a99785cd-1c5d-4343-8dcb-6d57717121be	157	G
a99785cd-1c5d-4343-8dcb-6d57717121be	76	G
a99785cd-1c5d-4343-8dcb-6d57717121be	75	G
a99785cd-1c5d-4343-8dcb-6d57717121be	72	G
a99785cd-1c5d-4343-8dcb-6d57717121be	80	G
64632ab3-9751-4c84-b6c4-4cfa9ce5493e	2768	G
23cbe50d-7323-412c-9afb-7fb88bee12ef	2017	G
12dcafea-9406-4a11-ae28-ebab3f7d1e53	113	G
897eec6f-3baf-4b13-8a61-b0d09f19bae7	2664	G
897eec6f-3baf-4b13-8a61-b0d09f19bae7	669	G
897eec6f-3baf-4b13-8a61-b0d09f19bae7	103	G
897eec6f-3baf-4b13-8a61-b0d09f19bae7	65	G
d109d26a-7812-442a-b4e7-079b908ffa23	262	G
3dc4f0e9-9846-4cce-9b3b-0edc5445ac32	3678	G
3dc4f0e9-9846-4cce-9b3b-0edc5445ac32	330	G
3dc4f0e9-9846-4cce-9b3b-0edc5445ac32	145	G
3dc4f0e9-9846-4cce-9b3b-0edc5445ac32	87	G
