read_id	length	strand
0073fa02-facf-4d2c-add7-e31ca29f18b1	332	G
004418a5-34dc-4a24-b06e-64da975d612e	50	G
004418a5-34dc-4a24-b06e-64da975d612e	69	G
00a10fbd-275d-47f6-b9c7-87eaf058226d	470	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	122	G
0106368d-1c26-4c08-911b-b88f1fb17442	319	G
0152ae1d-8c49-4a24-8428-3eb449d3d969	1193	G
0176d347-2183-45bc-8972-3daa92647f4b	59	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	68	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	142	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	214	G
02bf81bf-6e60-490f-b322-7f31f105b754	105	G
02fec1eb-b226-4889-a139-3837fd712cda	562	G
02bfe233-19f5-4965-a4eb-212fbd96fa07	118	G
03324f15-8bd2-4a86-84a8-a598908b14eb	1533	G
0364ab98-4ef9-45f1-ba23-43d9847c30a4	1464	G
03ed179a-38d8-4f01-85d3-8c18e9980155	77	G
048accfa-b62a-4202-9892-2d0d4752416d	262	G
048accfa-b62a-4202-9892-2d0d4752416d	59	G
048accfa-b62a-4202-9892-2d0d4752416d	145	G
04e7cb39-deec-43ff-a3ea-c5d7b0a1fc18	503	G
059a7213-87d6-4383-8953-b812240e1c60	646	G
059a7213-87d6-4383-8953-b812240e1c60	106	G
059a7213-87d6-4383-8953-b812240e1c60	607	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	211	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	222	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	121	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	53	G
04767625-778c-4af8-845e-8283cb503e23	571	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	119	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	177	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	58	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	66	G
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	964	G
0677759d-0eb9-4dac-8e26-740b29d54642	639	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	783	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	855	G
05b778c0-33e4-43ea-9f43-301900a92de8	418	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	145	G
0673385d-943a-4426-ac09-baeca5ec0aba	212	G
07588fcd-6815-465c-a41e-c8ab9fc6cf25	206	G
088e7743-3bd3-4384-aaa5-3620f60e5523	180	G
07c1fe99-1cbb-4cb8-99c5-7bdf254f4693	75	G
07d5e61b-efd7-4d1e-8061-f95214026f62	132	G
0805a62a-61ae-4094-9897-137f178d4c64	141	G
0805a62a-61ae-4094-9897-137f178d4c64	150	G
080f3bd4-eb45-40be-832e-06113795ec9f	84	G
0888228d-0d5a-4bee-b97a-882ee524f0fb	93	G
08faf7ee-5615-4512-9268-13d07c8800da	1576	G
0a5c7cc2-50d8-4307-a874-3067c418075d	348	G
0ad4a0c9-b8f5-4023-be49-8546d152ab4c	382	G
0d1c71bc-06a1-4bff-8297-3a6cfa03416e	164	G
0d1c71bc-06a1-4bff-8297-3a6cfa03416e	72	G
082f1d2f-057c-4a28-974d-6bdc67a80d3c	447	G
086f298e-a3e7-44b3-bf05-ce15bd8d2a43	65	G
08c54e7b-1fc2-41dd-a686-da91bd48412f	461	G
08e39a59-53f8-4070-b124-61c78f4118f5	543	G
0966d260-b804-4c65-a7d6-eb675b5bb478	346	G
0971c15b-2b41-445e-b5aa-49773f845fdc	788	G
0971c15b-2b41-445e-b5aa-49773f845fdc	81	G
097fbe75-c178-43e4-85e5-8e048c955372	220	G
09e5a306-9150-445c-bc06-8a1b3b7b88e4	665	G
0a7cac32-bbd9-4ec4-a268-570871a7f2af	211	G
0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1	620	G
0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1	60	G
0bf37962-243e-4ef1-8098-e3f76eafbd46	1758	G
0bf37962-243e-4ef1-8098-e3f76eafbd46	53	G
0d2988a1-8087-47bd-b62e-174a8e0eea6f	319	G
0d4a0c32-5504-4cad-bf50-80d3d2c44bc1	500	G
0e5b19f6-5351-4b33-8607-2dd2e7f18a05	97	G
0f61d204-0041-4814-b6f6-c36e9d965c1c	563	G
0f61d204-0041-4814-b6f6-c36e9d965c1c	78	G
0e1822fd-229b-4406-b445-6cfe94958fa5	280	G
0f631545-e417-44ff-b309-22398b7b78d0	139	G
0f631545-e417-44ff-b309-22398b7b78d0	107	G
0f9a5708-a01f-42ab-8a23-4beb57a19178	104	G
14ce971e-b6e5-402f-a229-9d115e6088cf	179	G
16c7b413-79db-495e-ae0c-ff0ef299ea2a	197	G
0fa01986-d3d9-42f7-ab87-0af1cb24c384	53	G
0fd1a96c-32fb-4ef1-b2af-40f80e5365d5	463	G
0fd1a96c-32fb-4ef1-b2af-40f80e5365d5	98	G
10774c4f-f96a-455e-a171-69f116687458	160	G
0b3511e8-b873-45cb-b2d0-0b1e098e4ff8	158	G
0b3511e8-b873-45cb-b2d0-0b1e098e4ff8	118	G
0bc6b2a9-36be-48a8-bbed-3604fbc630af	665	G
0bc6b2a9-36be-48a8-bbed-3604fbc630af	571	G
0eb2693f-177b-410d-9aa5-4f7cccdc7159	271	G
0f697574-5fc0-44e3-85c2-e5da5fc184ac	112	G
11a31f2b-3e24-4af5-ad36-3950732cf022	352	G
13113b2d-ce51-4b2d-984f-ecb4ac25ad9d	103	G
137bd7bd-d600-421e-ba02-0ab16a5662ac	380	G
137bd7bd-d600-421e-ba02-0ab16a5662ac	138	G
13eb0124-b6f1-4736-886b-49fafcb3e82d	474	G
177dd0a7-c9fc-4e20-a2bb-66256908b580	127	G
1792120f-59f0-4fde-8598-70615855f97a	360	G
1792120f-59f0-4fde-8598-70615855f97a	161	G
1792120f-59f0-4fde-8598-70615855f97a	65	G
1792120f-59f0-4fde-8598-70615855f97a	124	G
17c10a86-aad7-4139-aa00-a2ea33082c8e	559	G
17c10a86-aad7-4139-aa00-a2ea33082c8e	419	G
17e334bf-bdef-4b04-a1c7-18b858b6cc59	107	G
1893ed69-9dd9-4b73-b222-0f21fe1aa5ca	499	G
19033ab3-557e-46a0-955c-994b93b0d8ce	100	G
19711a5c-f410-4398-9a92-4d9892c0298e	274	G
199655bc-52f2-4b7d-ae54-8a5b14ef8553	66	G
199655bc-52f2-4b7d-ae54-8a5b14ef8553	76	G
19972822-0e2d-47b5-863a-fea14cefeb2b	226	G
19972822-0e2d-47b5-863a-fea14cefeb2b	310	G
19972822-0e2d-47b5-863a-fea14cefeb2b	295	G
1a5b9827-2e97-4272-9237-52619753550b	327	G
1b3dfcd5-8867-4df0-bb55-4c6004ba9ca1	637	G
1beb6d81-7d66-43e2-a227-87b0dcbfacc7	132	G
1d901302-a50e-42cb-a924-1baa40dd2f2b	634	G
1d901302-a50e-42cb-a924-1baa40dd2f2b	434	G
0bd66c71-df3a-44db-8cc4-9248430b60c4	64	G
0c48eb0f-c916-4444-aa42-456656fbdd1e	108	G
14973521-2294-4662-a05b-45fcc42e647a	148	G
14973521-2294-4662-a05b-45fcc42e647a	102	G
14973521-2294-4662-a05b-45fcc42e647a	78	G
14973521-2294-4662-a05b-45fcc42e647a	57	G
14973521-2294-4662-a05b-45fcc42e647a	145	G
14b7db71-91b6-412e-9413-76234390664a	214	G
14ff8fcc-0211-4b26-acf2-3fd0b8003bbf	287	G
154f9956-a621-46f9-a29a-a4ebb6811e56	763	G
1078176d-a33d-4364-86be-3682c7ad0da3	580	G
1078176d-a33d-4364-86be-3682c7ad0da3	245	G
1128e823-f646-4979-9392-f4f375717c9d	384	G
117490bb-0cf1-4c75-9a88-235e38dfbe1b	387	G
117490bb-0cf1-4c75-9a88-235e38dfbe1b	79	G
12602628-df04-45b6-afc0-9a126fa60762	696	G
127114f0-323b-4068-b417-90382df7b7dc	368	G
13338c74-8d6f-4944-a094-58eed58153f0	364	G
13338c74-8d6f-4944-a094-58eed58153f0	72	G
10705ce2-d6a9-401c-baa1-d73a9d162ee7	70	G
12dcafea-9406-4a11-ae28-ebab3f7d1e53	121	G
165c6bde-8cd3-4df8-bd40-5f37ca7fb8f5	415	G
165c6bde-8cd3-4df8-bd40-5f37ca7fb8f5	62	G
185273a8-d799-4b15-bee4-a09c9a60e0dd	1311	G
185273a8-d799-4b15-bee4-a09c9a60e0dd	571	G
185273a8-d799-4b15-bee4-a09c9a60e0dd	785	G
18b9735a-058a-4d5f-b820-a911b3690b14	652	G
1599935c-4d5e-4787-b17b-e0044123ab19	109	G
1613c0d8-454c-4ce0-a065-e72f69c64efa	206	G
1800419a-c758-406b-8432-e9e42616fdef	211	G
1907652e-3541-426c-b53c-17cbd4bc1e52	342	G
190a0155-1b35-46e0-8231-a6a77f4e91a5	1610	G
198149f9-adb3-4c50-8702-1b67e8d405a2	576	G
198149f9-adb3-4c50-8702-1b67e8d405a2	136	G
1a346fef-460d-40a1-b5df-08dae5b9abdb	625	G
16cf1925-bf18-4c92-8cfd-cd179f803adc	499	G
173b4b18-a27e-4ee4-ac07-8a3e2f1aae26	169	G
173b4b18-a27e-4ee4-ac07-8a3e2f1aae26	82	G
17a9c0ef-7ef3-4fe8-9f3a-f327187a5ace	464	G
17a9c0ef-7ef3-4fe8-9f3a-f327187a5ace	54	G
17a9c0ef-7ef3-4fe8-9f3a-f327187a5ace	72	G
18a90fd3-d992-46dc-9cc4-39c3c0bb69f8	235	G
1db221ae-a874-456f-acda-0ea2cd24f811	377	G
1e16a9ec-556e-49b3-bef7-173e122cd2f5	95	G
1ea5c6f3-04d9-4975-9694-e85b72d0d108	168	G
1eedddd1-9ae9-4009-bc67-867b5b0e952e	491	G
1f280462-9bbb-473c-98a4-d0c51b168a85	220	G
20143b63-fb66-4b7e-9e02-a140a6d849b7	49	G
2004eb03-286c-45c1-9bf6-a56e30f8f50e	89	G
20d914fb-180e-4511-b0d6-34c6c2394035	113	G
2205b4b5-3918-45f0-98f0-1e85ef90d723	105	G
2403839f-95fc-462e-94e7-6f80c6471792	180	G
2433a827-0948-4d6b-bbaf-15e350ef930c	311	G
1a853380-5908-4d2e-82cb-d7e9a1a65530	785	G
1a853380-5908-4d2e-82cb-d7e9a1a65530	50	G
1ac63ed8-aa21-44ce-b76f-aa90499186dc	193	G
1aea7ea6-4fee-4b72-b6ec-644db3f8604d	74	G
1b2fddaa-f6da-449b-b4ed-8826f6e8f05f	302	G
1b2fddaa-f6da-449b-b4ed-8826f6e8f05f	54	G
1d4e7f5e-86d6-40b9-9573-172298bbda4a	115	G
1daf7f19-0240-4d03-89c3-7484a2916a72	118	G
1edd2315-6652-4708-9654-d25343b25190	372	G
1f1adee5-e264-4323-8c5e-19c4e58d3d54	138	G
1fe07c03-b496-403f-a5c4-626056058264	213	G
1aed3d27-7223-4869-8418-844091585de8	1250	G
1fde1993-1a07-4fa1-881f-ca0e745820da	93	G
1fde1993-1a07-4fa1-881f-ca0e745820da	65	G
24aa182d-ca53-473a-8aae-f634481421b1	107	G
24e3f2f2-8b50-4366-90c4-bd6af7c1e1d9	289	G
24e3f2f2-8b50-4366-90c4-bd6af7c1e1d9	71	G
1e61ce34-691d-4519-8321-88eab2bf2075	701	G
1e61ce34-691d-4519-8321-88eab2bf2075	169	G
1e61ce34-691d-4519-8321-88eab2bf2075	226	G
2607442a-1c3e-4ef0-a2b6-1e848db1516e	88	G
2630d5be-8363-43ef-9df6-203a9f339751	135	G
26447c2a-fa63-4600-b45b-84c8409701d3	178	G
2652fd7c-46b9-4e3c-862c-62c3fd29e585	759	G
21eed0a5-152e-4b31-9cc4-96d59b9cf7e8	314	G
21f4b14e-1255-4cac-a56d-75fd7d5de3ce	388	G
245bd075-288e-4ea2-803e-819b63b9f9a8	101	G
24b683f1-5a0a-4ec6-a14e-c086071bda53	101	G
25688881-dc29-4767-9773-f9b9989d54d8	771	G
25e2aaf2-0e6b-4446-a191-435962008a21	151	G
26ca2a9a-2b27-4137-965b-9084a6f7ae82	503	G
297985aa-ebf0-4b39-8da7-6bc7a989a6b2	350	G
2a238095-d9fb-4502-a335-f7dda3eb8b84	144	G
1fa7df56-4073-4738-9c6f-d14716196144	122	G
271e4c48-f2f7-4216-b967-77fa8014c1ff	55	G
271e4c48-f2f7-4216-b967-77fa8014c1ff	210	G
214110af-8b23-441f-a951-0b8e9d2e975e	310	G
2258c7d2-44ff-471d-919c-365736ec8ced	104	G
23cbe50d-7323-412c-9afb-7fb88bee12ef	65	G
23cbf665-8e34-4bf9-8f2e-772ec42b5fd5	714	G
24de7998-7bd9-4c58-8093-d1d8293d8eda	574	G
2c96eaf3-866f-41e0-9887-d97507bb1f93	140	G
2cce4b72-b26f-4bcd-a307-ad5df418917c	100	G
2104760c-1bf3-4d7b-80f3-dc50eccd5ac2	210	G
226b0ac0-a8a7-40c0-9962-33ebaf7fe69f	121	G
2ed24d86-876c-477c-88e2-77ba6161d7a9	453	G
2fe0fc7e-69a6-40aa-ad0d-02737a967ddf	461	G
22cd1453-07ad-415e-94c8-c1cbfbc0a31e	441	G
2868d6d5-6a71-4a3c-b38e-3bb58ee10264	116	G
28fc8f20-63e6-43f8-b02e-c8f4cb973386	249	G
2a07ea58-b3c7-45c0-acd1-3129409a5409	766	G
2a1389f9-d15d-4366-b097-1d649d55b8da	131	G
2b459ff4-42b5-4c52-a451-d8c2ac2ecfc3	333	G
2bd0a0c6-be55-4ab5-b6b2-7a865a5ba1b7	500	G
2be0c816-2baf-457d-a20c-7205d5bba6e4	118	G
2bf1c15a-cd91-4f9b-88ae-f1a9f88fe11f	439	G
2fe3765f-9a58-403d-b381-5e5a4aeae341	113	G
31e0650a-a3d4-459e-ad52-1dc0edc9d2e7	104	G
33599931-cb1d-4d74-b6c5-1632512b9da9	883	G
3540ebcf-0be8-43f0-8306-d3d4d72d1bd0	347	G
361e718a-ff00-4576-bf5b-8891e9f38e12	513	G
2bf6830c-5ab3-462a-ada0-8d8bcce2fd3d	616	G
2c87ed57-a2fa-4e18-98f1-9941e65c9828	57	G
2c9097f7-df4c-436d-bb4a-6868864cdcb0	99	G
2c9097f7-df4c-436d-bb4a-6868864cdcb0	100	G
2cf5bc31-0a63-4f5f-a40f-81503e03b0f2	375	G
2d660145-c1aa-4633-98c4-edc7dee8b445	214	G
