,qname,teloBPLengths
0,0073fa02-facf-4d2c-add7-e31ca29f18b1,138
1,004418a5-34dc-4a24-b06e-64da975d612e,36
2,00a10fbd-275d-47f6-b9c7-87eaf058226d,594
3,0152ae1d-8c49-4a24-8428-3eb449d3d969,258
4,029956c8-537a-478f-b9ae-e7b8efc7c7b7,48
5,016ef48c-08ca-4c2f-b385-fa4ab9435194,150
6,02bf81bf-6e60-490f-b322-7f31f105b754,534
7,02fec1eb-b226-4889-a139-3837fd712cda,156
8,02bfe233-19f5-4965-a4eb-212fbd96fa07,144
9,03324f15-8bd2-4a86-84a8-a598908b14eb,588
10,03ed179a-38d8-4f01-85d3-8c18e9980155,2328
11,048accfa-b62a-4202-9892-2d0d4752416d,18
12,0508ecd4-c605-4e49-bd9f-d60c73f2ec89,102
13,059a7213-87d6-4383-8953-b812240e1c60,192
14,03b05f39-3947-40f3-8d76-5c965d1ff1bc,138
15,049f4e89-d0fd-41cf-9d34-6b1e5331ac5e,24
16,049f602b-2b66-4765-bc67-62f57ab186c9,204
17,05e94dd2-03bc-44f8-8ced-01bee49b8a5a,12
18,06303029-cedb-4509-a676-0c280acf1d73,228
19,0636b3c3-01a9-45e1-9e6e-2cacd134e22b,822
20,066102e9-5eba-4675-856f-8e740c63d0c8,30
21,0673385d-943a-4426-ac09-baeca5ec0aba,474
22,07588fcd-6815-465c-a41e-c8ab9fc6cf25,810
23,088e7743-3bd3-4384-aaa5-3620f60e5523,12
24,07c1fe99-1cbb-4cb8-99c5-7bdf254f4693,546
25,07d5e61b-efd7-4d1e-8061-f95214026f62,72
26,0805a62a-61ae-4094-9897-137f178d4c64,870
27,080f3bd4-eb45-40be-832e-06113795ec9f,96
28,0888228d-0d5a-4bee-b97a-882ee524f0fb,24
29,08c9f56c-1ead-4d29-b73a-d7bc5156d3fe,54
30,08faf7ee-5615-4512-9268-13d07c8800da,654
31,0ad4a0c9-b8f5-4023-be49-8546d152ab4c,102
32,0d1c71bc-06a1-4bff-8297-3a6cfa03416e,54
33,0810c13e-0664-4bf7-9a2a-91377d8f37a3,906
34,08c54e7b-1fc2-41dd-a686-da91bd48412f,180
35,08e39a59-53f8-4070-b124-61c78f4118f5,6
36,0966d260-b804-4c65-a7d6-eb675b5bb478,42
37,097fbe75-c178-43e4-85e5-8e048c955372,42
38,09e5a306-9150-445c-bc06-8a1b3b7b88e4,6
39,0a7cac32-bbd9-4ec4-a268-570871a7f2af,252
40,0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1,72
41,0bf37962-243e-4ef1-8098-e3f76eafbd46,336
42,0d2988a1-8087-47bd-b62e-174a8e0eea6f,66
43,0d69dd0b-25f8-4608-95b1-f47731f7e685,1416
44,0b731ebb-824f-4875-a568-d81671c7c386,6
45,0c4d30f2-b42e-495c-afaa-a8b12def4af0,150
46,0e5b19f6-5351-4b33-8607-2dd2e7f18a05,186
47,0f61d204-0041-4814-b6f6-c36e9d965c1c,36
48,0de491f0-7e3c-4ac0-820d-49702611207d,156
49,0e1822fd-229b-4406-b445-6cfe94958fa5,12
50,0f631545-e417-44ff-b309-22398b7b78d0,84
51,14ce971e-b6e5-402f-a229-9d115e6088cf,1536
52,16c7b413-79db-495e-ae0c-ff0ef299ea2a,174
53,0fd1a96c-32fb-4ef1-b2af-40f80e5365d5,18
54,0ba73a3d-7665-4e4c-b193-11734aa3c430,48
55,0bc6b2a9-36be-48a8-bbed-3604fbc630af,744
56,0dc90629-379c-4bf0-9af9-982cde8830f3,12
57,10e38fc3-4ced-47b8-bef1-a1619a67b60a,108
58,125f5ae8-7145-4a73-ade2-fef76caee5bc,126
59,137bd7bd-d600-421e-ba02-0ab16a5662ac,54
60,13eb0124-b6f1-4736-886b-49fafcb3e82d,78
61,16e6114e-da83-4872-9163-db09bc83df58,18
62,1792120f-59f0-4fde-8598-70615855f97a,306
63,17e334bf-bdef-4b04-a1c7-18b858b6cc59,96
64,1821f9eb-c1dd-4811-a7b0-40245e4f3322,1002
65,1893ed69-9dd9-4b73-b222-0f21fe1aa5ca,192
66,19033ab3-557e-46a0-955c-994b93b0d8ce,210
67,199655bc-52f2-4b7d-ae54-8a5b14ef8553,546
