read_id	length	strand
0073fa02-facf-4d2c-add7-e31ca29f18b1	332	G
004418a5-34dc-4a24-b06e-64da975d612e	165	G
004418a5-34dc-4a24-b06e-64da975d612e	70	G
00a10fbd-275d-47f6-b9c7-87eaf058226d	473	G
0106368d-1c26-4c08-911b-b88f1fb17442	849	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	298	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	214	G
028da262-84f6-4596-99b0-a35f9d301656	472	G
028da262-84f6-4596-99b0-a35f9d301656	104	G
028da262-84f6-4596-99b0-a35f9d301656	98	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	101	G
009ffac9-9648-4241-b112-e4e32a2eb5a1	3049	G
0152ae1d-8c49-4a24-8428-3eb449d3d969	3308	G
03ed179a-38d8-4f01-85d3-8c18e9980155	295	G
04767625-778c-4af8-845e-8283cb503e23	274	G
048accfa-b62a-4202-9892-2d0d4752416d	369	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	206	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	221	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	111	G
0176d347-2183-45bc-8972-3daa92647f4b	105	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	165	G
02bf81bf-6e60-490f-b322-7f31f105b754	105	G
02bfe233-19f5-4965-a4eb-212fbd96fa07	118	G
02fec1eb-b226-4889-a139-3837fd712cda	249	G
03324f15-8bd2-4a86-84a8-a598908b14eb	1251	G
0364ab98-4ef9-45f1-ba23-43d9847c30a4	1196	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	1838	G
049f602b-2b66-4765-bc67-62f57ab186c9	85	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	54	G
04e7cb39-deec-43ff-a3ea-c5d7b0a1fc18	502	G
0508ecd4-c605-4e49-bd9f-d60c73f2ec89	139	G
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	1732	G
05f89e7f-6a4b-4551-8220-efdb64c116de	2881	G
0888228d-0d5a-4bee-b97a-882ee524f0fb	133	G
088e7743-3bd3-4384-aaa5-3620f60e5523	180	G
0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1	2379	G
059a7213-87d6-4383-8953-b812240e1c60	3326	G
05b778c0-33e4-43ea-9f43-301900a92de8	501	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	210	G
0677759d-0eb9-4dac-8e26-740b29d54642	2660	G
07588fcd-6815-465c-a41e-c8ab9fc6cf25	207	G
07d5e61b-efd7-4d1e-8061-f95214026f62	1181	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	925	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	608	G
0673385d-943a-4426-ac09-baeca5ec0aba	211	G
0805a62a-61ae-4094-9897-137f178d4c64	144	G
0805a62a-61ae-4094-9897-137f178d4c64	151	G
080f3bd4-eb45-40be-832e-06113795ec9f	295	G
0810c13e-0664-4bf7-9a2a-91377d8f37a3	60	G
086f298e-a3e7-44b3-bf05-ce15bd8d2a43	118	G
08c54e7b-1fc2-41dd-a686-da91bd48412f	458	G
08c9f56c-1ead-4d29-b73a-d7bc5156d3fe	171	G
08e39a59-53f8-4070-b124-61c78f4118f5	262	G
0966d260-b804-4c65-a7d6-eb675b5bb478	346	G
0971c15b-2b41-445e-b5aa-49773f845fdc	895	G
0971c15b-2b41-445e-b5aa-49773f845fdc	362	G
097fbe75-c178-43e4-85e5-8e048c955372	1001	G
08faf7ee-5615-4512-9268-13d07c8800da	963	G
08faf7ee-5615-4512-9268-13d07c8800da	1077	G
0b3511e8-b873-45cb-b2d0-0b1e098e4ff8	353	G
0b731ebb-824f-4875-a568-d81671c7c386	77	G
0d69dd0b-25f8-4608-95b1-f47731f7e685	323	G
09e5a306-9150-445c-bc06-8a1b3b7b88e4	1128	G
09e5a306-9150-445c-bc06-8a1b3b7b88e4	1352	G
0a5c7cc2-50d8-4307-a874-3067c418075d	363	G
0a7cac32-bbd9-4ec4-a268-570871a7f2af	212	G
0ad4a0c9-b8f5-4023-be49-8546d152ab4c	3028	G
0bf37962-243e-4ef1-8098-e3f76eafbd46	1842	G
0bc6b2a9-36be-48a8-bbed-3604fbc630af	744	G
0bc6b2a9-36be-48a8-bbed-3604fbc630af	227	G
0bd66c71-df3a-44db-8cc4-9248430b60c4	208	G
0d0da55c-83b4-459f-ac47-fb9e118f6dff	1970	G
0d1c71bc-06a1-4bff-8297-3a6cfa03416e	1557	G
0d1c71bc-06a1-4bff-8297-3a6cfa03416e	72	G
0d2988a1-8087-47bd-b62e-174a8e0eea6f	318	G
0d4a0c32-5504-4cad-bf50-80d3d2c44bc1	515	G
0eb2693f-177b-410d-9aa5-4f7cccdc7159	112	G
0eb2693f-177b-410d-9aa5-4f7cccdc7159	118	G
0eb2693f-177b-410d-9aa5-4f7cccdc7159	62	G
0f61d204-0041-4814-b6f6-c36e9d965c1c	246	G
0f61d204-0041-4814-b6f6-c36e9d965c1c	78	G
0f61d204-0041-4814-b6f6-c36e9d965c1c	98	G
0f631545-e417-44ff-b309-22398b7b78d0	1890	G
0f631545-e417-44ff-b309-22398b7b78d0	992	G
107f518c-31ea-484a-9803-f090684b815c	90	G
107f518c-31ea-484a-9803-f090684b815c	49	G
10e38fc3-4ced-47b8-bef1-a1619a67b60a	77	G
10e38fc3-4ced-47b8-bef1-a1619a67b60a	142	G
117490bb-0cf1-4c75-9a88-235e38dfbe1b	78	G
12602628-df04-45b6-afc0-9a126fa60762	685	G
1613c0d8-454c-4ce0-a065-e72f69c64efa	207	G
0cbec92e-6830-4586-8944-ee30c875b146	350	G
0e1822fd-229b-4406-b445-6cfe94958fa5	1259	G
118540a5-4b38-41ed-961e-9b9c6c21d144	175	G
125f5ae8-7145-4a73-ade2-fef76caee5bc	665	G
127114f0-323b-4068-b417-90382df7b7dc	374	G
12dcafea-9406-4a11-ae28-ebab3f7d1e53	206	G
13113b2d-ce51-4b2d-984f-ecb4ac25ad9d	118	G
0e5b19f6-5351-4b33-8607-2dd2e7f18a05	66	G
0f697574-5fc0-44e3-85c2-e5da5fc184ac	113	G
0fd1a96c-32fb-4ef1-b2af-40f80e5365d5	466	G
0fd1a96c-32fb-4ef1-b2af-40f80e5365d5	134	G
10705ce2-d6a9-401c-baa1-d73a9d162ee7	267	G
1599935c-4d5e-4787-b17b-e0044123ab19	85	G
16e6114e-da83-4872-9163-db09bc83df58	1096	G
173b4b18-a27e-4ee4-ac07-8a3e2f1aae26	485	G
185273a8-d799-4b15-bee4-a09c9a60e0dd	2532	G
185273a8-d799-4b15-bee4-a09c9a60e0dd	789	G
18a90fd3-d992-46dc-9cc4-39c3c0bb69f8	2200	G
