read_id	length	strand
0073fa02-facf-4d2c-add7-e31ca29f18b1	138	NA
00a10fbd-275d-47f6-b9c7-87eaf058226d	582	NA
0106368d-1c26-4c08-911b-b88f1fb17442	18	NA
016ef48c-08ca-4c2f-b385-fa4ab9435194	684	NA
028da262-84f6-4596-99b0-a35f9d301656	2226	NA
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	1374	NA
009ffac9-9648-4241-b112-e4e32a2eb5a1	3096	NA
0152ae1d-8c49-4a24-8428-3eb449d3d969	3534	NA
04767625-778c-4af8-845e-8283cb503e23	30	NA
048accfa-b62a-4202-9892-2d0d4752416d	78	NA
029956c8-537a-478f-b9ae-e7b8efc7c7b7	162	NA
02ba55f6-1ff1-41e4-bd94-f3a81e471603	912	NA
02bfe233-19f5-4965-a4eb-212fbd96fa07	138	NA
02fec1eb-b226-4889-a139-3837fd712cda	216	NA
03324f15-8bd2-4a86-84a8-a598908b14eb	60	NA
03b05f39-3947-40f3-8d76-5c965d1ff1bc	132	NA
049f602b-2b66-4765-bc67-62f57ab186c9	138	NA
04bfef56-d047-4e8a-ac80-efc9e8d7381c	222	NA
0508ecd4-c605-4e49-bd9f-d60c73f2ec89	42	NA
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	1782	NA
05f89e7f-6a4b-4551-8220-efdb64c116de	2910	NA
0888228d-0d5a-4bee-b97a-882ee524f0fb	24	NA
088e7743-3bd3-4384-aaa5-3620f60e5523	12	NA
098e2a1e-3c10-4ccf-8156-ac7ea169c3ab	24	NA
0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1	2382	NA
059a7213-87d6-4383-8953-b812240e1c60	192	NA
05b7df12-4f66-486b-a3c9-874b9778ca3a	690	NA
0677759d-0eb9-4dac-8e26-740b29d54642	2676	NA
07588fcd-6815-465c-a41e-c8ab9fc6cf25	816	NA
07d5e61b-efd7-4d1e-8061-f95214026f62	1170	NA
06303029-cedb-4509-a676-0c280acf1d73	192	NA
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	954	NA
066102e9-5eba-4675-856f-8e740c63d0c8	6	NA
0673385d-943a-4426-ac09-baeca5ec0aba	474	NA
0805a62a-61ae-4094-9897-137f178d4c64	870	NA
08c54e7b-1fc2-41dd-a686-da91bd48412f	180	NA
08c9f56c-1ead-4d29-b73a-d7bc5156d3fe	18	NA
0966d260-b804-4c65-a7d6-eb675b5bb478	36	NA
08faf7ee-5615-4512-9268-13d07c8800da	1002	NA
0d69dd0b-25f8-4608-95b1-f47731f7e685	1884	NA
09e5a306-9150-445c-bc06-8a1b3b7b88e4	1128	NA
0a5c7cc2-50d8-4307-a874-3067c418075d	84	NA
0a7cac32-bbd9-4ec4-a268-570871a7f2af	252	NA
0ad4a0c9-b8f5-4023-be49-8546d152ab4c	3048	NA
0bf37962-243e-4ef1-8098-e3f76eafbd46	330	NA
0bc6b2a9-36be-48a8-bbed-3604fbc630af	756	NA
0d0da55c-83b4-459f-ac47-fb9e118f6dff	2010	NA
0d1c71bc-06a1-4bff-8297-3a6cfa03416e	42	NA
0d2988a1-8087-47bd-b62e-174a8e0eea6f	60	NA
0d4a0c32-5504-4cad-bf50-80d3d2c44bc1	12	NA
0ed82985-6f0e-47f5-87f2-68df0f8e9dee	24	NA
0f61d204-0041-4814-b6f6-c36e9d965c1c	108	NA
0f631545-e417-44ff-b309-22398b7b78d0	978	NA
107f518c-31ea-484a-9803-f090684b815c	12	NA
10e38fc3-4ced-47b8-bef1-a1619a67b60a	78	NA
117490bb-0cf1-4c75-9a88-235e38dfbe1b	12	NA
12602628-df04-45b6-afc0-9a126fa60762	726	NA
1613c0d8-454c-4ce0-a065-e72f69c64efa	36	NA
0cbec92e-6830-4586-8944-ee30c875b146	18	NA
0e1822fd-229b-4406-b445-6cfe94958fa5	258	NA
10774c4f-f96a-455e-a171-69f116687458	54	NA
125f5ae8-7145-4a73-ade2-fef76caee5bc	90	NA
127114f0-323b-4068-b417-90382df7b7dc	108	NA
12dcafea-9406-4a11-ae28-ebab3f7d1e53	366	NA
0e5b19f6-5351-4b33-8607-2dd2e7f18a05	186	NA
0fd1a96c-32fb-4ef1-b2af-40f80e5365d5	90	NA
1599935c-4d5e-4787-b17b-e0044123ab19	72	NA
16e6114e-da83-4872-9163-db09bc83df58	30	NA
173b4b18-a27e-4ee4-ac07-8a3e2f1aae26	12	NA
185273a8-d799-4b15-bee4-a09c9a60e0dd	2550	NA
18a90fd3-d992-46dc-9cc4-39c3c0bb69f8	2328	NA
0c48eb0f-c916-4444-aa42-456656fbdd1e	858	NA
0c4d30f2-b42e-495c-afaa-a8b12def4af0	144	NA
0d7538be-8b0f-41e6-aa99-efa511207114	216	NA
154f9956-a621-46f9-a29a-a4ebb6811e56	12	NA
16c7b413-79db-495e-ae0c-ff0ef299ea2a	162	NA
16cf1925-bf18-4c92-8cfd-cd179f803adc	1104	NA
1792120f-59f0-4fde-8598-70615855f97a	2592	NA
1078176d-a33d-4364-86be-3682c7ad0da3	108	NA
13eb0124-b6f1-4736-886b-49fafcb3e82d	84	NA
165c6bde-8cd3-4df8-bd40-5f37ca7fb8f5	138	NA
16bf0c72-f782-40b6-8db8-fff510b4115c	6	NA
18f3daef-f9f9-4642-a0dc-434d187c7342	132	NA
18b9735a-058a-4d5f-b820-a911b3690b14	3804	NA
190a0155-1b35-46e0-8231-a6a77f4e91a5	30	NA
1a853380-5908-4d2e-82cb-d7e9a1a65530	1998	NA
1907652e-3541-426c-b53c-17cbd4bc1e52	1002	NA
0dc90629-379c-4bf0-9af9-982cde8830f3	2514	NA
198149f9-adb3-4c50-8702-1b67e8d405a2	4512	NA
199655bc-52f2-4b7d-ae54-8a5b14ef8553	900	NA
19982cb0-ba65-4964-ac0d-b7dca9677a33	18	NA
1a346fef-460d-40a1-b5df-08dae5b9abdb	1176	NA
1abca525-da5a-4212-b3b5-081c965e681a	18	NA
1aeada0c-4ed8-42d2-8e97-b4e6159a6b60	2064	NA
1b2fddaa-f6da-449b-b4ed-8826f6e8f05f	48	NA
1b3dfcd5-8867-4df0-bb55-4c6004ba9ca1	3540	NA
1b422fa0-350f-4878-a176-7c7c5d5dd68c	78	NA
1c3e7f10-7158-4071-97f2-76a60d9d0508	1056	NA
1e61ce34-691d-4519-8321-88eab2bf2075	96	NA
1ea5c6f3-04d9-4975-9694-e85b72d0d108	72	NA
1edd2315-6652-4708-9654-d25343b25190	18	NA
20d914fb-180e-4511-b0d6-34c6c2394035	36	NA
22cd1453-07ad-415e-94c8-c1cbfbc0a31e	132	NA
0dda957d-c612-47f6-8fe5-858b35c4c3c7	24	NA
1b156f90-6b34-4e8a-af5b-422e778250ba	3132	NA
1d901302-a50e-42cb-a924-1baa40dd2f2b	1050	NA
1f280462-9bbb-473c-98a4-d0c51b168a85	540	NA
20cf2ee2-ea3d-4831-b447-aff1b538ecc7	18	NA
