read_id	length	strand
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	781	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	819	G
0073fa02-facf-4d2c-add7-e31ca29f18b1	332	G
00a10fbd-275d-47f6-b9c7-87eaf058226d	479	G
0106368d-1c26-4c08-911b-b88f1fb17442	326	G
004418a5-34dc-4a24-b06e-64da975d612e	883	G
004418a5-34dc-4a24-b06e-64da975d612e	1654	G
0152ae1d-8c49-4a24-8428-3eb449d3d969	3284	G
009ffac9-9648-4241-b112-e4e32a2eb5a1	1549	G
0176d347-2183-45bc-8972-3daa92647f4b	106	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	369	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	57	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	60	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	215	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	217	G
02bf81bf-6e60-490f-b322-7f31f105b754	105	G
03324f15-8bd2-4a86-84a8-a598908b14eb	1534	G
0364ab98-4ef9-45f1-ba23-43d9847c30a4	400	G
02bfe233-19f5-4965-a4eb-212fbd96fa07	118	G
02fec1eb-b226-4889-a139-3837fd712cda	562	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	1844	G
03ed179a-38d8-4f01-85d3-8c18e9980155	79	G
03ed179a-38d8-4f01-85d3-8c18e9980155	54	G
04767625-778c-4af8-845e-8283cb503e23	568	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	245	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	282	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	309	G
049f602b-2b66-4765-bc67-62f57ab186c9	1368	G
049f602b-2b66-4765-bc67-62f57ab186c9	149	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	300	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	67	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	95	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	108	G
04e7cb39-deec-43ff-a3ea-c5d7b0a1fc18	502	G
059a7213-87d6-4383-8953-b812240e1c60	3367	G
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	1743	G
0673385d-943a-4426-ac09-baeca5ec0aba	212	G
0677759d-0eb9-4dac-8e26-740b29d54642	1697	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	1180	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	212	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	310	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	160	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	110	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	60	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	48	G
05f89e7f-6a4b-4551-8220-efdb64c116de	857	G
07588fcd-6815-465c-a41e-c8ab9fc6cf25	127	G
05b778c0-33e4-43ea-9f43-301900a92de8	424	G
06303029-cedb-4509-a676-0c280acf1d73	156	G
06303029-cedb-4509-a676-0c280acf1d73	97	G
06303029-cedb-4509-a676-0c280acf1d73	113	G
06303029-cedb-4509-a676-0c280acf1d73	99	G
06303029-cedb-4509-a676-0c280acf1d73	52	G
06303029-cedb-4509-a676-0c280acf1d73	66	G
06303029-cedb-4509-a676-0c280acf1d73	57	G
080f3bd4-eb45-40be-832e-06113795ec9f	666	G
