read_id	length	strand
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	1428	NA
0073fa02-facf-4d2c-add7-e31ca29f18b1	138	NA
00a10fbd-275d-47f6-b9c7-87eaf058226d	594	NA
0106368d-1c26-4c08-911b-b88f1fb17442	72	NA
004418a5-34dc-4a24-b06e-64da975d612e	3066	NA
0152ae1d-8c49-4a24-8428-3eb449d3d969	3576	NA
009ffac9-9648-4241-b112-e4e32a2eb5a1	102	NA
028da262-84f6-4596-99b0-a35f9d301656	480	NA
029956c8-537a-478f-b9ae-e7b8efc7c7b7	102	NA
02ba55f6-1ff1-41e4-bd94-f3a81e471603	948	NA
016ef48c-08ca-4c2f-b385-fa4ab9435194	6	NA
03324f15-8bd2-4a86-84a8-a598908b14eb	54	NA
0364ab98-4ef9-45f1-ba23-43d9847c30a4	264	NA
048accfa-b62a-4202-9892-2d0d4752416d	120	NA
02bfe233-19f5-4965-a4eb-212fbd96fa07	138	NA
02fec1eb-b226-4889-a139-3837fd712cda	42	NA
03b05f39-3947-40f3-8d76-5c965d1ff1bc	138	NA
03ed179a-38d8-4f01-85d3-8c18e9980155	270	NA
043166e6-a883-452b-9430-4d48c26b1886	18	NA
04767625-778c-4af8-845e-8283cb503e23	66	NA
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	18	NA
049f602b-2b66-4765-bc67-62f57ab186c9	336	NA
059a7213-87d6-4383-8953-b812240e1c60	198	NA
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	1800	NA
0673385d-943a-4426-ac09-baeca5ec0aba	480	NA
0677759d-0eb9-4dac-8e26-740b29d54642	126	NA
05b7df12-4f66-486b-a3c9-874b9778ca3a	1206	NA
05f89e7f-6a4b-4551-8220-efdb64c116de	24	NA
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	42	NA
066102e9-5eba-4675-856f-8e740c63d0c8	36	NA
07588fcd-6815-465c-a41e-c8ab9fc6cf25	816	NA
06303029-cedb-4509-a676-0c280acf1d73	48	NA
080f3bd4-eb45-40be-832e-06113795ec9f	786	NA
