read_id	length	strand
004418a5-34dc-4a24-b06e-64da975d612e	3161	G
0106368d-1c26-4c08-911b-b88f1fb17442	898	G
0106368d-1c26-4c08-911b-b88f1fb17442	328	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	940	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	213	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	517	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	57	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	63	G
0029c921-e7ca-4d8e-b7ca-ae43089d0c01	77	G
0073fa02-facf-4d2c-add7-e31ca29f18b1	332	G
00a10fbd-275d-47f6-b9c7-87eaf058226d	472	G
009ffac9-9648-4241-b112-e4e32a2eb5a1	3032	G
0152ae1d-8c49-4a24-8428-3eb449d3d969	3313	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	207	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	221	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	241	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	338	G
016ef48c-08ca-4c2f-b385-fa4ab9435194	83	G
0176d347-2183-45bc-8972-3daa92647f4b	105	G
029956c8-537a-478f-b9ae-e7b8efc7c7b7	53	G
029956c8-537a-478f-b9ae-e7b8efc7c7b7	44	G
02ba55f6-1ff1-41e4-bd94-f3a81e471603	986	G
02bf81bf-6e60-490f-b322-7f31f105b754	105	G
02fec1eb-b226-4889-a139-3837fd712cda	1641	G
03324f15-8bd2-4a86-84a8-a598908b14eb	3385	G
0364ab98-4ef9-45f1-ba23-43d9847c30a4	938	G
0364ab98-4ef9-45f1-ba23-43d9847c30a4	1472	G
03b05f39-3947-40f3-8d76-5c965d1ff1bc	1839	G
04767625-778c-4af8-845e-8283cb503e23	681	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	426	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	772	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	128	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	160	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	125	G
049f4e89-d0fd-41cf-9d34-6b1e5331ac5e	63	G
049f602b-2b66-4765-bc67-62f57ab186c9	1414	G
049f602b-2b66-4765-bc67-62f57ab186c9	641	G
049f602b-2b66-4765-bc67-62f57ab186c9	108	G
049f602b-2b66-4765-bc67-62f57ab186c9	161	G
04e7cb39-deec-43ff-a3ea-c5d7b0a1fc18	502	G
0508ecd4-c605-4e49-bd9f-d60c73f2ec89	86	G
059a7213-87d6-4383-8953-b812240e1c60	3326	G
05b778c0-33e4-43ea-9f43-301900a92de8	503	G
06303029-cedb-4509-a676-0c280acf1d73	505	G
06303029-cedb-4509-a676-0c280acf1d73	217	G
06303029-cedb-4509-a676-0c280acf1d73	54	G
06303029-cedb-4509-a676-0c280acf1d73	54	G
06303029-cedb-4509-a676-0c280acf1d73	87	G
06303029-cedb-4509-a676-0c280acf1d73	388	G
06303029-cedb-4509-a676-0c280acf1d73	56	G
06303029-cedb-4509-a676-0c280acf1d73	131	G
02bfe233-19f5-4965-a4eb-212fbd96fa07	118	G
03ed179a-38d8-4f01-85d3-8c18e9980155	205	G
03ed179a-38d8-4f01-85d3-8c18e9980155	220	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	610	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	100	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	173	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	106	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	76	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	52	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	68	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	185	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	208	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	342	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	398	G
04bfef56-d047-4e8a-ac80-efc9e8d7381c	105	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	2658	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	212	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	835	G
05b7df12-4f66-486b-a3c9-874b9778ca3a	311	G
05f89e7f-6a4b-4551-8220-efdb64c116de	921	G
05f89e7f-6a4b-4551-8220-efdb64c116de	908	G
05e94dd2-03bc-44f8-8ced-01bee49b8a5a	1725	G
0673385d-943a-4426-ac09-baeca5ec0aba	211	G
0677759d-0eb9-4dac-8e26-740b29d54642	2665	G
07588fcd-6815-465c-a41e-c8ab9fc6cf25	207	G
07c1fe99-1cbb-4cb8-99c5-7bdf254f4693	179	G
07c1fe99-1cbb-4cb8-99c5-7bdf254f4693	199	G
07c1fe99-1cbb-4cb8-99c5-7bdf254f4693	87	G
07c1fe99-1cbb-4cb8-99c5-7bdf254f4693	56	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	1225	G
0636b3c3-01a9-45e1-9e6e-2cacd134e22b	1297	G
07d5e61b-efd7-4d1e-8061-f95214026f62	1181	G
0805a62a-61ae-4094-9897-137f178d4c64	348	G
0888228d-0d5a-4bee-b97a-882ee524f0fb	134	G
08faf7ee-5615-4512-9268-13d07c8800da	1822	G
08faf7ee-5615-4512-9268-13d07c8800da	1588	G
0ad4a0c9-b8f5-4023-be49-8546d152ab4c	3027	G
0bc6b2a9-36be-48a8-bbed-3604fbc630af	2072	G
080f3bd4-eb45-40be-832e-06113795ec9f	724	G
080f3bd4-eb45-40be-832e-06113795ec9f	150	G
080f3bd4-eb45-40be-832e-06113795ec9f	175	G
080f3bd4-eb45-40be-832e-06113795ec9f	66	G
080f3bd4-eb45-40be-832e-06113795ec9f	121	G
0c4d30f2-b42e-495c-afaa-a8b12def4af0	759	G
0cbec92e-6830-4586-8944-ee30c875b146	655	G
0cbec92e-6830-4586-8944-ee30c875b146	69	G
0d4a0c32-5504-4cad-bf50-80d3d2c44bc1	502	G
0e1822fd-229b-4406-b445-6cfe94958fa5	1258	G
0f697574-5fc0-44e3-85c2-e5da5fc184ac	113	G
0810c13e-0664-4bf7-9a2a-91377d8f37a3	1789	G
0810c13e-0664-4bf7-9a2a-91377d8f37a3	98	G
0810c13e-0664-4bf7-9a2a-91377d8f37a3	62	G
0810c13e-0664-4bf7-9a2a-91377d8f37a3	50	G
082f1d2f-057c-4a28-974d-6bdc67a80d3c	336	G
082f1d2f-057c-4a28-974d-6bdc67a80d3c	482	G
086f298e-a3e7-44b3-bf05-ce15bd8d2a43	118	G
08c54e7b-1fc2-41dd-a686-da91bd48412f	459	G
08c9f56c-1ead-4d29-b73a-d7bc5156d3fe	821	G
08e39a59-53f8-4070-b124-61c78f4118f5	2364	G
09e5a306-9150-445c-bc06-8a1b3b7b88e4	3643	G
0a5c7cc2-50d8-4307-a874-3067c418075d	727	G
0a7cac32-bbd9-4ec4-a268-570871a7f2af	212	G
0b731ebb-824f-4875-a568-d81671c7c386	379	G
0b731ebb-824f-4875-a568-d81671c7c386	170	G
0b731ebb-824f-4875-a568-d81671c7c386	93	G
0b731ebb-824f-4875-a568-d81671c7c386	79	G
0ba73a3d-7665-4e4c-b193-11734aa3c430	463	G
