,qname,teloBPLengths
0,004418a5-34dc-4a24-b06e-64da975d612e,3228
1,0073fa02-facf-4d2c-add7-e31ca29f18b1,132
2,0152ae1d-8c49-4a24-8428-3eb449d3d969,3546
3,03b05f39-3947-40f3-8d76-5c965d1ff1bc,138
4,049f602b-2b66-4765-bc67-62f57ab186c9,3708
5,0029c921-e7ca-4d8e-b7ca-ae43089d0c01,3636
6,009ffac9-9648-4241-b112-e4e32a2eb5a1,3066
7,00a10fbd-275d-47f6-b9c7-87eaf058226d,588
8,016ef48c-08ca-4c2f-b385-fa4ab9435194,2934
9,02bfe233-19f5-4965-a4eb-212fbd96fa07,144
10,03324f15-8bd2-4a86-84a8-a598908b14eb,3486
11,0364ab98-4ef9-45f1-ba23-43d9847c30a4,3450
12,03ed179a-38d8-4f01-85d3-8c18e9980155,48
13,049f4e89-d0fd-41cf-9d34-6b1e5331ac5e,3330
14,04bfef56-d047-4e8a-ac80-efc9e8d7381c,5472
15,059a7213-87d6-4383-8953-b812240e1c60,192
16,05e94dd2-03bc-44f8-8ced-01bee49b8a5a,1782
17,0636b3c3-01a9-45e1-9e6e-2cacd134e22b,2676
18,0677759d-0eb9-4dac-8e26-740b29d54642,2682
19,07588fcd-6815-465c-a41e-c8ab9fc6cf25,822
20,0805a62a-61ae-4094-9897-137f178d4c64,864
21,0810c13e-0664-4bf7-9a2a-91377d8f37a3,2154
22,088e7743-3bd3-4384-aaa5-3620f60e5523,18
23,0966d260-b804-4c65-a7d6-eb675b5bb478,120
24,0971c15b-2b41-445e-b5aa-49773f845fdc,4236
25,097fbe75-c178-43e4-85e5-8e048c955372,3348
26,0106368d-1c26-4c08-911b-b88f1fb17442,3996
27,029956c8-537a-478f-b9ae-e7b8efc7c7b7,3246
28,02fec1eb-b226-4889-a139-3837fd712cda,2442
29,04767625-778c-4af8-845e-8283cb503e23,2724
30,048accfa-b62a-4202-9892-2d0d4752416d,2544
31,0508ecd4-c605-4e49-bd9f-d60c73f2ec89,1314
32,05f89e7f-6a4b-4551-8220-efdb64c116de,2898
33,07c1fe99-1cbb-4cb8-99c5-7bdf254f4693,1596
34,07d5e61b-efd7-4d1e-8061-f95214026f62,1170
35,0888228d-0d5a-4bee-b97a-882ee524f0fb,24
36,08faf7ee-5615-4512-9268-13d07c8800da,4470
37,05b7df12-4f66-486b-a3c9-874b9778ca3a,4770
38,0673385d-943a-4426-ac09-baeca5ec0aba,366
39,0ad4a0c9-b8f5-4023-be49-8546d152ab4c,3048
40,0b18cdfe-fe19-4ee6-bd5f-28f59e57fce1,2388
41,0b3511e8-b873-45cb-b2d0-0b1e098e4ff8,6
42,0bc6b2a9-36be-48a8-bbed-3604fbc630af,2130
43,0bd66c71-df3a-44db-8cc4-9248430b60c4,858
44,0c4d30f2-b42e-495c-afaa-a8b12def4af0,150
45,0cbec92e-6830-4586-8944-ee30c875b146,2700
